"msv"," hoc ki", "dtb"
"651635","Học kỳ 1 - Năm học 2020-2021,Học kỳ 2 - Năm học 2020-2021,Học kỳ 1 - Năm học 2021-2022,Học kỳ 2 - Năm học 2021-2022,Học kỳ 1 - Năm học 2022-2023,Học kỳ 2 - Năm học 2022-2023","2.15,2.11,1.42,1.74,1.88,2.0"
"651514","Học kỳ 1 - Năm học 2020-2021,Học kỳ 2 - Năm học 2020-2021,Học kỳ 1 - Năm học 2021-2022,Học kỳ 2 - Năm học 2021-2022,Học kỳ 1 - Năm học 2022-2023,Học kỳ 2 - Năm học 2022-2023","3.56,3.39,3.21,2.87,2.64,3.5"
"654349","Học kỳ 1 - Năm học 2020-2021,Học kỳ 2 - Năm học 2020-2021,Học kỳ 1 - Năm học 2021-2022,Học kỳ 2 - Năm học 2021-2022,Học kỳ 1 - Năm học 2022-2023,Học kỳ 2 - Năm học 2022-2023","1.65,1.31,2.28,1.38,1.09,2.0"
"653263","Học kỳ 1 - Năm học 2020-2021,Học kỳ 2 - Năm học 2020-2021,Học kỳ 1 - Năm học 2021-2022,Học kỳ 2 - Năm học 2021-2022,Học kỳ 1 - Năm học 2022-2023,Học kỳ 2 - Năm học 2022-2023","2.06,1.08,0.86,0.6,0.95"
"653248","Học kỳ 1 - Năm học 2020-2021,Học kỳ 2 - Năm học 2020-2021,Học kỳ 1 - Năm học 2021-2022,Học kỳ 2 - Năm học 2021-2022,Học kỳ 1 - Năm học 2022-2023,Học kỳ 2 - Năm học 2022-2023","1.44,1.05,1.12,0.36,0.85"
"653721","Học kỳ 1 - Năm học 2020-2021,Học kỳ 2 - Năm học 2020-2021,Học kỳ 1 - Năm học 2021-2022,Học kỳ 2 - Năm học 2021-2022,Học kỳ 1 - Năm học 2022-2023,Học kỳ 2 - Năm học 2022-2023","1.76,2.5,2.47,2.18,2.0"
"654323","Học kỳ 1 - Năm học 2020-2021,Học kỳ 2 - Năm học 2020-2021,Học kỳ 1 - Năm học 2021-2022,Học kỳ 2 - Năm học 2021-2022,Học kỳ 1 - Năm học 2022-2023,Học kỳ 2 - Năm học 2022-2023","2.65,2.61,2.78,2.9,3.25"
"654129","Học kỳ 1 - Năm học 2020-2021,Học kỳ 2 - Năm học 2020-2021,Học kỳ 1 - Năm học 2021-2022,Học kỳ 2 - Năm học 2021-2022,Học kỳ 1 - Năm học 2022-2023,Học kỳ 2 - Năm học 2022-2023","1.15,0.74,0.78,0.0,0.93"
